Slovak Republic,21768.14867
Slovenia,29331.0647
Sweden,61417.68088
Eswatini,4068.573816
Sint Maarten (Dutch part),31711.61199
Seychelles,12963.05898
Syrian Arab Republic,420.6227052
Turks and Caicos Islands,23158.6379
Chad,685.690315
East Asia & Pacific (IDA & IBRD countries),9922.0435
Europe & Central Asia (IDA & IBRD countries),9982.81223
Togo,976.6661831
Thailand,7060.897707
Tajikistan,916.6919671
Turkmenistan,7885.299896
Latin America & the Caribbean (IDA & IBRD countries),8262.542085
Timor-Leste,2741.95082
Middle East & North Africa (IDA & IBRD countries),3589.595352
Tonga,4425.971492
South Asia (IDA & IBRD),2136.192891
Sub-Saharan Africa (IDA & IBRD countries),1635.217341
Trinidad and Tobago,16056.30204
Tunisia,3807.184109
Turkiye,9743.213131
Tuvalu,5372.760239
Tanzania,1146.031982
Uganda,883.4657281
Ukraine,4827.845703
Upper middle income,10271.80149
Uruguay,17923.99533
United States,70219.47245
Uzbekistan,1993.424478
St. Vincent and the Grenadines,8360.064239
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),41976.00831
Viet Nam,3756.488901
Vanuatu,3044.57364
World,12316.10246
Samoa,3857.689742
Kosovo,5269.783901
"Yemen, Rep.",543.6375376
South Africa,7073.612754
Zambia,1134.713454
Zimbabwe,1773.920411
